Stars,Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
3,Psychic Tracker,Effect Monster,EARTH,Psychic,1600,600,".f you control a Level 3 monster other than ""Psychic Tracker"", you can Special Summon this card (from your hand) in Defense Position. You can only Special Summon ""Psychic Tracker"" once per turn this way. A Synchro Monster that used this card as material gains 600 ATK."
3,Pumpkin Carriage,Effect Monster,EARTH,Plant,0,300,"""Prinzessin"" you control can attack directly. Your opponent cannot target ""Golden Castle of Stromberg"" you control with card effects, also it cannot be destroyed by card effects."
3,Pumprincess the Princess of Ghosts,Effect Monster,DARK,Zombie,900,1000,"If this face-up card is destroyed while in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card, instead of sending it to the Graveyard. While this card is treated as a Continuous Spell Card by this effect, during each player's Standby Phase: Place 1 Pumpkin Counter on this card. All monsters your opponent controls lose 100 ATK and DEF for each Pumpkin Counter on this card."
3,Puppet Plant,Effect Monster,EARTH,Plant,1000,1000,"By discarding this card from your hand to the Graveyard, take control of 1 face-up Warrior or Spellcaster-Type monster your opponent controls until the end of this turn."
3,Pursuit Chaser,Effect Monster,EARTH,Machine,1400,600,"When a Defense Position monster is destroyed by battle and sent to the Graveyard, inflict 500 damage to your opponent."
3,R-Genex Magma,Effect Monster,FIRE,Pyro,1000,200,"When this card is Normal Summoned, you can add 1 Level 2 ""R-Genex"" monster from your Deck to your hand."
3,Raging Flame Sprite,Effect Monster,FIRE,Pyro,100,200,This card can attack your opponent directly. If this card inflicts Battle Damage to your opponent by a direct attack: This card gains 1000 ATK.
3,Rai Rider,Effect Monster,LIGHT,Thunder,1200,1400,If this card battles an opponent's monster: That monster cannot attack while it is face-up on the field.
3,Rai-Mei,Effect Monster,LIGHT,Thunder,1400,1200,"When this card is destroyed by battle and sent to the Graveyard, you can add 1 Level 2 or lower LIGHT monster from your Deck to your hand."
3,Raidraptor - Skull Eagle,Effect Monster,DARK,Winged Beast,1000,500,"If this card is detached from an Xyz Monster and sent to the Graveyard to activate that monster's effect: You can banish this card from your Graveyard, then target 1 ""Raidraptor"" card in your Graveyard; add it to your hand. You can only use this effect of ""Raidraptor - Skull Eagle"" once per turn. An Xyz Monster that was Summoned using this card on the field as Xyz Material gains this effect. ;; If it is Xyz Summoned: it gains 300 ATK."
3,Rallis the Star Bird,Effect Monster,WIND,Winged Beast,800,800,"This card gains ATK equal to the Level of the monster that it battles x 200 during the Damage Step only. If this card attacks, it is removed from play at the end of the Damage Step and returned to your side of the field in face-up Attack Position at the beginning of your next turn's Battle Phase."
3,Rampaging Rhynos,Effect Monster,EARTH,Beast-Warrior,1500,1500,"Once per turn, this card can move to an adjacent unoccupied Monster Card Zone. If this card attacks the monster in its same column, this card gains 500 ATK during the Damage Step."
3,Razor Lizard,Effect Monster,EARTH,Reptile,1500,300,"While you control another Reptile-Type monster, if this card attacks a face-down Defense Position monster, destroy the monster immediately with this card's effect without flipping it face-up or applying damage calculation."
3,Red-Eyes Baby Dragon,Effect Monster,DARK,Dragon,1200,700,"When this card is destroyed by battle and sent to the GY: You can Special Summon 1 Level 7 or lower ""Red-Eyes"" monster from your Deck, and if you do, equip this card from the GY to it. It gains 300 ATK. If this card is sent to the GY while equipped to a monster: You can add 1 Level 1 Dragon monster from your Deck or GY to your hand."
3,Reptilianne Gorgon,Effect Monster,DARK,Reptile,1400,1400,"If this card attacks an opponent's monster, after damage calculation the ATK of the attack target becomes 0, and it cannot change its battle position."
3,Rescue Interlacer,Effect Monster,LIGHT,Cyberse,1000,1200,"During damage calculation, if your Cyberse monster is attacked (Quick Effect): You can discard this card; you take no battle damage from that battle. You can only use this effect of ""Rescue Interlacer"" once per turn. Once per turn, during the End Phase, if this card is in the GY because it was discarded there to activate this effect this turn: Special Summon this card."
3,Risebell the Star Adjuster,Effect Monster,WIND,Psychic,800,800,When this card is Special Summoned: You can target 1 face-up monster on the field; increase its Level by up to 3 until the End Phase.
3,Ritual Beast Tamer Wen,Effect Monster,WIND,Psychic,1500,1000,"If this card is Normal Summoned: You can target 1 of your banished ""Ritual Beast"" monsters; Special Summon it. You can only Special Summon ""Ritual Beast Tamer Wen(s)"" once per turn."
3,Rocket Jumper,Effect Monster,EARTH,Rock,1000,800,"If the only cards on your opponent's side of the field are Defense Position monsters, this card can attack your opponent's Life Points directly."
3,Rogue of Endymion,Effect Monster,FIRE,Spellcaster,1500,200,"If this card is Normal or Special Summoned: Place 1 Spell Counter on it. You can remove 1 Spell Counter from this card and discard 1 Spellcaster monster; Set 1 Continuous Spell directly from your Deck, but for the rest of this turn you cannot activate it, or activate cards, or the effects of cards, with its name. You can only use each effect of ""Rogue of Endymion"" once per turn."
3,Rose Archer,Effect Monster,EARTH,Warrior,1000,100,"During either player's turn, when your opponent activates a Trap Card while you control a Plant-Type monster: You can send this card from your hand to the Graveyard; negate the activation, and if you do,destroy it."
3,Rose Fairy,Effect Monster,WIND,Plant,600,1200,"If this card is added from your Deck to your hand by the effect of a Spell, Trap, or Monster Card, you can Special Summon this card."
3,Royal Knight,Effect Monster,LIGHT,Fairy,1300,800,"When this card destroys a monster as a result of battle and sends it to the Graveyard, increase your Life Points by the DEF of the destroyed monster."
3,Salamangreat Fennec,Effect Monster,FIRE,Cyberse,1600,200,"If a Cyberse monster(s) you control that was Special Summoned from the Extra Deck is destroyed by battle or an opponent's card effect: You can Special Summon this card from the GY (if it was there when that monster was destroyed) or hand (even if not), but banish it when it leaves the field. If this card is sent to the GY as Link Material for the Link Summon of a Link-2 or higher Cyberse monster: You can add 1 ""Salamangreat"" Normal Spell from your Deck to your hand. You can only use each effect of ""Salamangreat Fennec"" once per turn."
3,Salamangreat Foxer,Effect Monster,FIRE,Cyberse,1200,1000,"If you have 3 or more ""Salamangreat"" monsters in your GY: You can send this card from your hand to the GY, then target 1 ""Salamangreat"" Link Monster in your GY and 1 card in your opponent's Spell & Trap Zone; return that targeted monster from your GY to the Extra Deck, and if you do, destroy the targeted card on the field. If a card(s) in your opponent's Spell & Trap Zone is destroyed and sent to the GY, while this card is in your GY (except during the Damage Step): You can Special Summon this card in Defense Position. You can only use 1 ""Salamangreat Foxer"" effect per turn, and only once that turn."
3,Salamangreat Foxy,Effect Monster,FIRE,Cyberse,1000,1200,"When this card is Normal Summoned: You can excavate the top 3 cards of your Deck, you can add 1 excavated ""Salamangreat"" card to your hand, also shuffle the rest back into your Deck. If this card is in your GY, and a face-up Spell/Trap is on the field: You can discard 1 ""Salamangreat"" card; Special Summon this card, then you can destroy 1 face-up Spell/Trap on the field. You can only use 1 ""Salamangreat Foxy"" effect per turn, and only once that turn."
3,Salamangreat Gazelle,Effect Monster,FIRE,Cyberse,1500,1000,"If a ""Salamangreat"" monster is sent to your GY, except ""Salamangreat Gazelle"" (except during the Damage Step): You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can send 1 ""Salamangreat"" card from your Deck to the GY, except ""Salamangreat Gazelle"". You can only use each effect of ""Salamangreat Gazelle"" once per turn."
3,Salamangreat Spinny,Effect Monster,FIRE,Cyberse,1000,1500,"If you control a ""Salamangreat"" card: You can discard this card, then target 1 face-up monster on the field; it gains 500 ATK until the end of this turn. If you control a ""Salamangreat"" monster other than ""Salamangreat Spinny"" and this card is in your GY: You can Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Salamangreat Spinny"" once per turn."
3,Sand Gambler,Effect Monster,LIGHT,Spellcaster,300,1600,"Toss a coin 3 times. If all 3 results are Heads, destroy all monsters on your opponent's side of the field. If all 3 results are Tails, destroy all monsters on your side of the field. You can only activate this effect once per turn, during your Main Phase."
3,Sangan,Effect Monster,DARK,Fiend,1000,600,When this card is sent from the field to the Graveyard: Add 1 monster with 1500 or less ATK from your Deck to your hand.
3,Sasuke Samurai #3,Effect Monster,LIGHT,Warrior,1000,1000,"When this card inflicts Battle Damage to your opponent's Life Points, your opponent draws cards until their hand has 7 cards."
3,"Scarm, Malebranche of the Burning Abyss",Effect Monster,DARK,Fiend,800,2000,"If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of the following effects of ""Scarm, Malebranche of the Burning Abyss"" per turn, and only once that turn. ;; If you control no Spell/Trap Cards: You can Special Summon this card from your hand. ;; During the End Phase, if this card was sent to the Graveyard this turn: You can add 1 Level 3 DARK Fiend-Type monster from your Deck to your hand, except ""Scarm, Malebranche of the Burning Abyss""."
3,Scrap Hunter,Effect Monster,EARTH,Machine,1600,400,"Once per turn, you can select 1 face-up ""Scrap"" monster you control, except this card. Destroy it and send 1 Tuner monster from your Deck to your Graveyard."
3,Scrap Recycler,Effect Monster,EARTH,Machine,900,1200,"When this card is Normal or Special Summoned, you can select and send 1 Machine-Type monster from your Deck to the Graveyard. Once per turn, you can return 2 Level 4 Machine-Type EARTH monsters from your Graveyard to the Deck to draw 1 card."
3,Sea Archiver,Effect Monster,WATER,Cyberse,300,2100,"If a monster is Normal or Special Summoned to a zone a Link Monster points to (except during the Damage Step): You can Special Summon this card from your GY (if it was there when the Summon resolved) or hand (even if not), but banish it when it leaves the field. You can only use this effect of ""Sea Archiver"" once per turn."
3,Second Booster,Effect Monster,FIRE,Machine,1000,500,You can Tribute this card to select 1 face-up Attack Position monster you control. The selected monster gains 1500 ATK until the End Phase.
3,Secret Six Samurai - Hatsume,Effect Monster,WATER,Warrior,1600,1500,"You can banish 2 ""Six Samurai"" monsters from your GY and/or face-up from your field, then target 1 ""Six Samurai"" monster in your GY, except ""Secret Six Samurai - Hatsume""; Special Summon it. You can only use this effect of ""Secret Six Samurai - Hatsume"" once per turn. If exactly 1 ""Six Samurai"" monster you control (and no other cards) would be destroyed by card effect, you can banish this card from your GY instead."
3,Seed of Flame,Effect Monster,FIRE,Plant,1600,1200,"When this card you control is destroyed by a card effect and sent to the Graveyard, you can Special Summon 1 Level 4 or lower Plant-Type monster, except ""Seed of Flame"", from your Graveyard. Also, Special Summon 1 ""Seed Token"" (Plant-Type/EARTH/Level 1/ATK 0/DEF 0) to your opponent''s side of the field in Defense Position. This Token cannot be Tributed for a Tribute Summon."
3,Seismic Crasher,Effect Monster,EARTH,Rock,1400,300,"Twice per turn, you can send 1 face-up Continuous Spell or Continuous Trap you control to the Graveyard to inflict 500 damage to your opponent."
3,Sentry Soldier of Stone,Effect Monster,EARTH,Rock,1300,2000,"If all monsters you control are Rock-Type monsters (min. 1) while this card is in your Graveyard: You can Special Summon this card. You can only use this effect of ""Sentry Soldier of Stone"" once per turn."
3,Serene Psychic Witch,Effect Monster,EARTH,Psychic,1400,1200,"When this card on the field is destroyed and sent to the Graveyard, you can remove from play 1 Psychic-Type monster with 2000 or less ATK from your Deck. During the next Standby Phase, Special Summon the monster removed from play by this effect."
3,Servant of Catabolism,Effect Monster,LIGHT,Aqua,700,500,This monster may attack your opponent's Life Points directly.
3,"Shafu, the Wheeled Mayakashi",Effect Monster,EARTH,Zombie,1200,400,"If this card is Normal or Special Summoned: You can target 1 ""Mayakashi"" monster in your GY, except ""Shafu, the Wheeled Mayakashi""; Special Summon it in Defense Position, but negate its effects. You can only use this effect of ""Shafu, the Wheeled Mayakashi"" once per turn. You cannot Special Summon monsters from the Extra Deck, except ""Mayakashi"" monsters."
3,Shark Stickers,Effect Monster,WATER,Fish,200,1000,"When a Fish, Sea Serpent, or Aqua-Type monster is Normal or Special Summoned to your side of the field: You can Special Summon this card from your hand. This card cannot be used as a Synchro Material Monster."
3,Shield Warrior,Effect Monster,EARTH,Warrior,800,1600,"During damage calculation, in either player's turn: You can banish this card from your Graveyard; monsters you control cannot be destroyed by this battle."
3,Shine Knight,Effect Monster,LIGHT,Warrior,400,1900,This card is Level 4 while in face-up Defense Position.
3,"Shire, Lightsworn Spirit",Effect Monster,LIGHT,Fairy,400,1400,"This card gains 300 ATK for each ""Lightsworn"" monster with a different name in your Graveyard. During each of your End Phases, send the top 2 cards of your Deck to the Graveyard."
3,Shock Troops of the Ice Barrier,Effect Monster,WATER,Spellcaster,1500,800,"You can Tribute this card to destroy 1 face-up WATER monster on the field, and add 1 ""Ice Barrier"" monster from your Deck to your hand."
3,Shogi Knight,Effect Monster,EARTH,Beast-Warrior,800,400,"When this card is Normal Summoned: You can target 1 Set card in your opponent's Spell & Trap Card Zone; reveal that target, then destroy it if it is a Trap Card. Otherwise, return it to its original position. When you destroy a Trap Card by this effect: You can Special Summon1 Level 3 EARTH monster from your hand in face-up Defense Position."
3,Shogi Lance,Effect Monster,EARTH,Beast-Warrior,500,500,Once per turn: You can target 1 other Level 3 Beast-Warrior-Typemonster you control; the Levels of that monster and this card become the combined Levels of those monsters.
3,"Shurit, Strategist of the Nekroz",Effect Monster,WATER,Warrior,300,1800,"If you Ritual Summon exactly 1 ""Nekroz"" Ritual Monster with a card effect that requires use of monsters, this card can be used as the entire requirement. If this card isTributed by a card effect: You can add 1 Warrior-Type ""Nekroz"" Ritual Monster from your Deck to your hand. You can only use this effect of ""Shurit, Strategist of the Nekroz"" once per turn."
3,Silent Swordsman LV3,Effect Monster,LIGHT,Warrior,1000,1000,"Negate the effects of your opponent's Spell Cards that target this card. During your Standby Phase, you can send this face-up card to the Graveyard to Special Summon 1 ""Silent Swordsman LV5"" from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned, Special Summoned, or flipped face-up.)"
3,"Simorgh, Bird of Calamity",Effect Monster,WIND,Winged Beast,1500,200,"When this card is Normal Summoned: You can send 1 ""Simorgh"" card from your Deck to the GY, except ""Simorgh, Bird of Calamity"". If this card is in your GY and your opponent controls no cards in their Spell & Trap Zone: You can Special Summon this card in Defense Position, but banish it when it leaves the field, also you cannot Special Summon monsters for the rest of this turn, except Winged Beast monsters. You can only use each effect of ""Simorgh, Bird of Calamity"" once per turn."
3,Skull Knight #2,Effect Monster,DARK,Fiend,1000,1200,"If you Tribute Summon a Fiend-Type monster by Tributing this monster, Special Summon 1 Skull Knight #2"" from your Deck. Then shuffle your Deck."""
3,Skull Kraken,Effect Monster,DARK,Aqua,600,1600,When this card is Normal Summoned: You can target 1 face-up Spell Card your opponent controls; destroy that target. Once per turn: You can change the battle position of this card.
3,Skystarray,Effect Monster,WIND,Sea Serpent,600,300,"This card can attack your opponent directly. At the end of the Battle Phase, if this card attacked directly: Banish this card until your next Standby Phase."
3,Small Piece Golem,Effect Monster,EARTH,Rock,1100,0,"When this card is Summoned, if you control a ""Big Piece Golem"", you can Special Summon 1 ""Medium Piece Golem"" from your Deck. That monster's effect is negated while it is face-up on the field."
3,Snowman Eater,Effect Monster,WATER,Aqua,0,1900,When this card is flipped face-up: Target 1 face-up monster on the field; destroy that target.
3,Sonata the Melodious Diva,Effect Monster,LIGHT,Fairy,1200,1000,"If you control a ""Melodius"" monster, you can Special Summon this card (from your hand). While this Special Summoned card is on the field, all Fairy-Type monsters you control gain 500 ATK and DEF."
3,Soul-Absorbing Bone Tower,Effect Monster,DARK,Zombie,400,1500,"While there is another Zombie-Type monster on your side of the field, your opponent cannot select this card as an attack target. Each time a Zombie-Type monster(s) is Special Summoned, send 2 cards from the top of your opponent's Deck to the Graveyard."
3,Speedroid Ohajikid,Effect Monster,WIND,Machine,1000,200,"When this card is Normal Summoned: you can target 1 Tuner monster in either player's Graveyard; Special Summon it to your side of the field, and if you do, immediately after this effect resolves, Synchro Summon 1 WIND Sunchro Monster, using that mosnter and this card only."
3,Speedroid Taketomborg,Effect Monster,WIND,Machine,600,1200,"If you control a WIND monster, you can Special Summon this card (from your hand). You can Tribute this card; Special SUmmon 1 ""Speedroid"" Tuner monster from your Deck, also you cannot Special Summon monsters for the rest of this turn, except WIND monsters. You can only Special Summon ""Speedroid Taketomborg(s)"" oncer per turn."
3,Speedroid Terrortop,Effect Monster,WIND,Machine,1200,600,"If you control no monsters, you can Special Summon this card (from your hand). When this card is Normal or Special summoned: You can add 1 ""Speedroid"" monster from your Deck to your hand, except ""Speedroid Terrortop"". You can only use this effect of ""Speedroid Terrortop"" oncer per turn."
3,Spell Reactor ? RE,Effect Monster,DARK,Machine,1200,900,"Once per turn, when your opponent activates a Spell Card, you can destroy the Spell card and inflict 800 damage to your opponent."
3,Spell Striker,Effect Monster,EARTH,Warrior,600,200,You can remove from play 1 Spell Card from your Graveyard to Special Summon this card. This card can attack your opponent directly. You take no Battle Damage from battles involving this card.
3,Spellstone Sorcerer Karood,Effect Monster,LIGHT,Spellcaster,800,1900,"Once per turn, when another Monster Card's effect is activated while there is no Spellstone Counter on this card, place 1 Spellstone Counter on this card (max. 1). This card gains 300 DEF for each Spellstone Counter on it. Once per turn, you can remove 1 Spellstone Counter from your side of the field to select 1 card in your opponent's Graveyard, and remove that card from play."
3,Spined Gillman,Effect Monster,WATER,Sea Serpent,1300,0,"All Fish-Type, Sea Serpent-Type, and Aqua-Type monsters you control gain 400 ATK."
3,Spirit of the Breeze,Effect Monster,WIND,Fairy,0,1800,"As long as this card remains in face-up Attack Position on your side of the field, increase your Life Points by 1000 points during each of your Standby Phases."
3,Spirit of the Six Samurai,Effect Monster,EARTH,Warrior,500,500,"Once per turn, you can either: Target 1 face-up ""Six Samurai"" monster you control; equip this card to that target, OR: Unequip this card and Special Summon it in face-up Attack Position. While equipped by this effect, the equipped monster gains 500 ATK and DEF. If the equipped monster destroys an opponent's monster by battle: Draw 1 card. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed, destroy this card instead.)"
3,Spirit Reaper,Effect Monster,DARK,Zombie,300,200,"Cannot be destroyed by battle. After resolving a card effect that targets this face-up card, destroy this card. When this card inflicts Battle Damage to your opponent by a direct attack: Discard 1 random card from their hand."
3,Spy-C-Spy,Effect Monster,FIRE,Warrior,1200,1300,"If this card is Normal Summoned: Look at 1 random card in your opponent's Extra Deck, and if it has 2000 or more ATK, this card gains 1000 ATK. If it has less than 2000 ATK, you gain LP equal to that monster's ATK"
3,Starfish,Effect Monster,WATER,Aqua,300,300,"Once per turn: You can increase the Levels of all ""Starfish"" you currently control by 1"
3,Stealth Bird,Effect Monster,DARK,Winged Beast,700,1700,Once per turn: You can change this card to face-down Defense Position. When this card is Flip Summoned: Inflict 1000 damage to your opponent.
3,Steelswarm Sentinel,Effect Monster,DARK,Fiend,1100,0,"While this card is in face-up Attack Position, Special Summoned Level 5 or higher monsters on the field cannot activate their effects."
3,Stray Asmodian,Effect Monster,FIRE,Fiend,1300,1700,"When this card is destroyed and sent to the Graveyard by battle, both players gain 800 Life Points."
3,Subterror Nemesis Archer,Effect Monster,EARTH,Fairy,1600,1400,"At the start of the Damage Step, if this card attacks an opponent's face-down Defense Position monster, and you control another ""Subterror"" monster: You can shuffle that opponent's monster into the Deck. If this card on the field is destroyed by battle or card effect and sent to the Graveyard: You can Special Summon 1 ""Subterror"" monster from your Deck in face-up or face-down Defense Position. You can only use each effect of ""Subterror Nemesis Archer"" once per turn."
3,Super Defense Robot Monki,Effect Monster,EARTH,Machine,800,1200,"When this card is Normal Summoned: You can Special Summon 1 ""Super Defense Robot"" monster or ""Orbital 7"" from your hand. Once per turn: You can banish 1 Machine-Type monster from your Graveyard, then target 1 ""Super Defense Robot"" monster or ""Orbital 7"" in your Graveyard; add that target to your hand."
3,Super Quantum Blue Layer,Effect Monster,WATER,Psychic,1200,2000,"When this card is Normal or Special Summoned: You can add 1 ""Super Quant"" card from your Deck to your hand, except ""Super Quantum Blue Layer"". If this card is sent to the Graveyard: You can target up to 3 ""Super Quant"" cards in your Graveyard; shuffle them into the Deck. You can only use each effect of ""Super Quantum Blue Layer"" once per turn."
3,Superheavy Samurai Flutist,Effect Monster,EARTH,Machine,500,1000,"You can Tribute this card; Special Summon 1 ""Superheavy Samurai"" monster from your hand. During either player's turn, when a card or effect is activated that targets a ""Superheavy Samurai"" monster you control: You can banish this card from your Graveyard; negate the activation, and if you do, destroy that card. You can only use each effect of ""Superheavy Samurai Flutist"" once per turn."
3,Superheavy Samurai Gigagloves,Effect Monster,EARTH,Machine,100,1000,"If this card is sent to the Graveyard, and you have no Spell/Trap Cards in your Graveyard: You can look at 5 cards from the top of your Deck, then place them on the top of the Deck in any order. When an opponent's monster declares a direct attack: You can banish this card from your Graveyard; excavate the top card of your Deck, and if it is a ""Superheavy Samurai"" monster, add it to your hand, and if you do, the attacking monster's ATK becomes 0. Otherwise, send it to the Graveyard."
3,Superheavy Samurai Prepped Defense,Effect Monster,EARTH,Machine,100,2100,"Cannot be Normal or Flip Summoned, if you have any Spell/Trap Card in yourGraveyard. When you take battle damage, if you have no Spell/Trap Cards in your Graveyard and this card is in your hand: You can Special Summon this card, and if you do, it cannot be destroyed by battle or card effects this turn."
3,Superheavy Samurai Soulbang Cannon,Effect Monster,EARTH,Machine,1000,1000,"You can target 1 ""Superheavy Samurai"" monster you control; equip this monster from your hand or your side of the field to that target. It gains 1000 DEF. During either player's Battle Phase, when your opponent activates a card effect while you control a Defense Position""Superheavy Samurai"" monster: You can banish this card from your Graveyard; negate the activation, and if you do, destroy it, then destroy as many monsters on the field as possible (min. 1), and if you do, both players take 1000 damage."
3,Superheavy Samurai Soulshield Wall,Effect Monster,EARTH,Machine,1200,1200,"You can target 1 ""Superheavy Samurai"" monster you control; equip this monster from your hand or your side of the field to that target. Its Level becomes 5. During either player's turn: You can discard this card, then target 1 Defense Position ""Superheavy Samurai"" monster you control; until the end of this turn, it loses 800 DEF, but cannot be destroyed by battle or by card effects."
3,Superheavy Samurai Swordsman,Effect Monster,EARTH,Machine,1000,1800,"When this card is Normal or Special Summoned: You can change its battle position. If a ""Superheavy Samurai"" monster you control battles an opponent's monster, afterdamage calculation: The opponent's monster's ATK and DEF become 0."
3,Swarm of Locusts,Effect Monster,DARK,Insect,1000,500,"Once per turn, you can flip this card into face-down Defense Position. When this card is Flip Summoned, destroy 1 Spell or Trap Card your opponent controls."
3,Swarm of Scarabs,Effect Monster,DARK,Insect,500,1000,"Once per turn, you can flip this card into face-down Defense Position. When this card is Flip Summoned, destroy 1 monster your opponent controls."
3,Sylvan Marshalleaf,Effect Monster,WATER,Plant,1500,1200,"When this card is Normal Summoned: You can choose either 1 or 2, then excavate that many cards from the top of your Deck, send any excavated Plant-Type monsters to the Graveyard, also place the other cards on the bottom of your Deck in any order. If this card is excavated from the Deck and sent to the Graveyard by a card effect: You can target 1 monster on the field; destroy that target."
3,Sylvan Mikorange,Effect Monster,WATER,Plant,400,1100,"When this card you control is destroyed by your opponent's card (either by battle or by card effect) and sent to your Graveyard: You can excavate the top card of your Deck, and if it is a Plant-Type monster, send it to the Graveyard. Otherwise, place it on the bottom of your Deck. If this card is excavated from the Deck and sent to the Graveyard by a card effect: All Plant-Type monsters you currently control gain 300 ATK and DEF."
3,T.G. Warwolf,Effect Monster,DARK,Beast-Warrior,1200,0,"When a Level 4 or lower monster is Special Summoned, you can Special Summon this card from your hand. During the End Phase of the turn this card on the field was destroyed and sent to the Graveyard, you can add 1 ""T.G."" monster from your Deck to your hand, except ""T.G. Warwolf""."
3,Tactical Espionage Expert,Effect Monster,EARTH,Warrior,1300,1200,"When this card is Normal Summoned successfully, no Trap Cards can be activated."
3,Tainted Wisdom,Effect Monster,DARK,Fiend,1250,800,"When this card is changed from Attack Position to Defense Position, shuffle your own Deck."
3,Tanngnjostr of the Nordic Beasts,Effect Monster,EARTH,Beast,800,1100,"When a monster you control is destroyed by battle and sent to the Graveyard, you can Special Summon this card from your hand. Once per turn, when this Defense Position card is changed to face-up Attack Position, you can Special Summon 1 ""Nordic Beast"" monster from your Deck, except ""Tanngnjostr of the Nordic Beasts""."
3,Tanngrisnir of the Nordic Beasts,Effect Monster,EARTH,Beast,1200,800,"When this card is destroyed by battle and sent to the Graveyard: Special Summon 2 ""Nordic Beast Tokens"" (Beast-Type/EARTH/Level 3/ATK 0/DEF 0)."
3,Temperance of Prophecy,Effect Monster,EARTH,Spellcaster,1000,1000,"During your Main Phase, if you have activated a ""Spellbook"" Spell Card previously this turn: You can Tribute this card; Special Summon 1 Level 5 or higher LIGHT or DARK Spellcaster-Type monster from your Deck. You cannot Special Summon another Level 5 or higher monster during the turn you activate this effect."
3,Terrene Toothed Tsuchinoko,Effect Monster,EARTH,Reptile,1600,500,"When this card is Special Summoned: Change all other Special Summoned monsters on the field to face-down Defense Position. You can only use the effect of ""Terrene Toothed Tsuchinoko"" once per turn."
3,Test Tiger,Effect Monster,EARTH,Beast,600,300,"If you control a face-up ""Gladiator Beast"" monster, you can Special Summon this card (from your hand). You can Tribute this card to target 1 face-up ""Gladiator Beast"" monster you control; shuffle that target into the Deck, then Special Summon 1 ""Gladiator Beast"" from your Deck, and treat it as if it was Special Summoned by the effect of a ""Gladiator Beast"" monster."
3,The Agent of Creation - Venus,Effect Monster,LIGHT,Fairy,1600,0,"You can pay 500 Life Points; Special Summon 1 ""Mystical Shine Ball"" from your hand or Deck."
3,The Agent of Force - Mars,Effect Monster,LIGHT,Fairy,0,,"This card is unaffected by any Spell Cards. While ""The Sanctuary in the Sky"" is on your side of the field, and your Life Points are higher than your opponent's Life Points, increase the ATK and DEF of this card by the difference between your and your opponent's Life Points."
3,The Dark - Hex-Sealed Fusion,Effect Monster,DARK,Rock,1000,1600,"You can substitute this card for any 1 Fusion Material Monster. The other Fusion Material Monster(s) must be the correct one(s). By Tributing Fusion Material Monsters on the field, including this card, Special Summon 1 DARK Fusion Monster from your Fusion Deck."
3,The Earth - Hex-Sealed Fusion,Effect Monster,EARTH,Rock,1000,1600,"You can substitute this card for any 1 Fusion Material Monster. The other Fusion Material Monster(s) must be the correct one(s). By Tributing Fusion Material Monsters on the field, including this card, Special Summon 1 EARTH Fusion Monster from your Fusion Deck."
3,The Fabled Ganashia,Effect Monster,LIGHT,Beast,1600,1000,"When this card is discarded to the Graveyard, Special Summon it. If this card was Summoned this way, it gains 200 ATK. In that case, remove it from play when it is removed from the field."
3,The Hunter with 7 Weapons,Effect Monster,EARTH,Warrior,1000,600,"When this card is Normal Summoned, declare 1 Type of monster. When battling that Type of monster, increase the ATK of this card by 1000 points during Damage Calculation."
3,The Immortal Bushi,Effect Monster,DARK,Warrior,1200,600,"While this card is face-up on the field, it cannot be Tributed, except for the Tribute Summon of a Warrior-Type monster. During your Standby Phase, if this card is in your Graveyard and all the monsters in your Graveyard are Warrior-Type: You can Special Summon this card from your Graveyard. You must also control no monsters to activate and to resolve this effect."
3,The Kick Man,Effect Monster,DARK,Zombie,1300,300,"When this card is Special Summoned, you can equip 1 appropriate Equip Spell Card from your Graveyard to this card."
3,The Lady in Wight,Effect Monster,DARK,Zombie,0,2200,"Face-up Level 3 or lower Zombie-Type monsters on the field, except ""The Lady in Wight"", cannot be destroyed by battle and are unaffected by Spell/Trap effects. This card's name becomes ""Skull Servant"" while it is in the Graveyard."
3,The Light - Hex-Sealed Fusion,Effect Monster,LIGHT,Rock,1000,1600,"You can substitute this card for any 1 Fusion Material Monster. The other Fusion Material Monster(s) must be the correct one(s). By Tributing Fusion Material Monsters on the field, including this card, Special Summon 1 LIGHT Fusion Monster from your Fusion Deck."
3,The Little Swordsman of Aile,Effect Monster,WATER,Warrior,800,1300,Offer 1 monster on your side of the Field as a Tribute to increase this monster's ATK by 700 points until the end of the turn.
3,The Phantom Knights of Ancient Cloak,Effect Monster,DARK,Warrior,800,1000,"If this card is in Attack Position: You can target 1 DARK monster on the field; change this card to Defense Position, and if you do, that monster gains 800 ATK and DEF until the end of your opponent's turn. You can banish this card from your Graveyard; add 1 ""The Phantom Knights"" card from your Deck to your hand, except ""The Phantom Knights of Ancient Cloak"". You can only use each effect of ""The Phantom Knights of Ancient Cloak"" once per turn."
